date,type,price,pnl,capital,position
2015-10-24,OPEN_LONG,276.5039978027344,0.0,9990.0,1
2017-01-12,EXIT_ONLY,775.177978515625,18006.929617328347,27996.929617328347,0
2017-03-02,OPEN_LONG,1224.6800537109375,0.0,27968.932687711018,1
2017-03-19,EXIT_ONLY,976.72998046875,-5690.617862660311,22278.314825050707,0
2017-05-05,OPEN_LONG,1540.8699951171875,0.0,22256.03651022566,1
2017-08-05,PARTIAL_SELL,2897.6298828125,0.0,24604.977280430503,1
2017-08-12,PARTIAL_SELL,3650.6298828125,0.0,27820.570867442788,1
2017-08-19,PARTIAL_SELL,4137.75,0.0,31304.122680461256,1
2017-08-26,PARTIAL_SELL,4372.06005859375,0.0,34646.40744743127,1
2017-09-02,PARTIAL_SELL,4901.419921875,0.0,40465.47617255223,1
2017-10-09,PARTIAL_SELL,4614.52001953125,0.0,44723.11602571965,1
2017-10-16,PARTIAL_SELL,5687.56982421875,0.0,49318.94134017,1
2017-10-23,PARTIAL_SELL,6006.0,0.0,53278.04190762207,1
2017-10-30,PARTIAL_SELL,6114.85009765625,0.0,56522.56040823921,1
2017-11-06,PARTIAL_SELL,7403.22021484375,0.0,59849.53838332645,1
2017-11-16,PARTIAL_SELL,7323.240234375,0.0,62474.799267491166,1
2017-11-24,PARTIAL_SELL,8074.02001953125,0.0,64847.77068101358,1
2017-12-01,PARTIAL_SELL,10198.599609375,0.0,71137.45799852195,1
2017-12-08,PARTIAL_SELL,17802.900390625,0.0,77044.98880041714,1
2017-12-15,PARTIAL_SELL,16601.30078125,0.0,79780.48010309334,1
2018-01-17,CLOSE_LONG,11431.099609375,1796.309074363315,81576.78917745667,0
2018-01-17,OPEN_SHORT,11431.099609375,0.0,81495.21238827921,-1
2018-07-25,CLOSE_SHORT,8379.66015625,21716.462603633932,103211.67499191314,0
2018-07-25,OPEN_LONG,8379.66015625,0.0,103108.46331692123,1
2018-08-08,STOP_LOSS,6284.7451171875,-25880.32750422222,77228.13581269901,0
2019-02-24,OPEN_LONG,4145.4580078125,0.0,77150.90767688632,1
2019-10-24,EXIT_ONLY,7509.72802734375,62535.029710681876,139685.93738756818,0
2020-01-29,OPEN_LONG,9357.470703125,0.0,139546.2514501806,1
2020-03-12,STOP_LOSS,7018.10302734375,-35026.24879993272,104520.00265024789,0
2020-05-08,OPEN_LONG,9936.162109375,0.0,104415.48264759764,1
2021-05-20,EXIT_ONLY,36753.66796875,281710.8113987366,386126.2940463342,0
2021-08-10,OPEN_LONG,46280.84765625,0.0,385740.1677522879,1
2021-08-10,PARTIAL_SELL,46280.84765625,0.0,385693.8325970023,1
2021-08-20,PARTIAL_SELL,46723.12109375,0.0,386042.32533018774,1
2021-09-05,PARTIAL_SELL,49937.859375,0.0,390703.3182928482,1
2021-10-05,PARTIAL_SELL,49174.9609375,0.0,393644.2589016944,1
2021-10-12,PARTIAL_SELL,57526.83203125,0.0,402897.0680479691,1
2021-10-19,PARTIAL_SELL,62043.1640625,0.0,413284.318036373,1
2021-11-08,PARTIAL_SELL,63344.06640625,0.0,422281.96771475143,1
2021-11-27,CLOSE_LONG,53736.4296875,15670.51873872439,437952.48645347584,0
2021-11-27,OPEN_SHORT,53736.4296875,0.0,437514.5339670224,-1
2022-11-09,MVRV_EXIT,18543.76171875,286669.494882279,724184.0288493014,0
2023-01-14,OPEN_LONG,19910.537109375,0.0,722011.4767627534,1
2025-07-10,PARTIAL_SELL,111329.1953125,0.0,1220164.6081005197,1
2025-07-17,PARTIAL_SELL,118738.5078125,0.0,1731774.1137355224,1
2025-07-27,PARTIAL_SELL,117944.7265625,0.0,2213898.5961356894,1
2025-08-13,PARTIAL_SELL,120168.9765625,0.0,3338087.6953139277,1
2025-10-02,PARTIAL_SELL,118652.3828125,0.0,4961952.113477906,1
2025-10-17,CLOSE_LONG,108179.1328125,5806364.963019669,10768317.076497575,0
2025-10-17,OPEN_SHORT,108179.1328125,0.0,10757548.759421078,-1
